,entityId,entityType,projectId,projectName,observationType,when,where,agentName,label,conceptId
0,O9045965-n7a3989f59836240e,offence,9045965,KCRP 2022,offence,2022-10-08T09:22:39+0300,"{'coordinates': [38.6229618, -3.69157859999999], 'type': 'Point'}",5Y-CBW,Illegal,https://sensingclues.poolparty.biz/SCCSSOntology/1814
1,O9045965-n7a3989f59836240e,offence,9045965,KCRP 2022,offence,2022-10-08T09:22:39+0300,"{'coordinates': [38.6229618, -3.69157859999999], 'type': 'Point'}",5Y-CBW,Motorbike,https://sensingclues.poolparty.biz/SCCSSOntology/336
2,O9045965-n7a3989f59836240e,offence,9045965,KCRP 2022,offence,2022-10-08T09:22:39+0300,"{'coordinates': [38.6229618, -3.69157859999999], 'type': 'Point'}",5Y-CBW,Charcoaling,https://sensingclues.poolparty.biz/SCCSSOntology/97
3,O9045965-n8f8f14bb2a58be58,offence,9045965,KCRP 2022,offence,2022-10-07T15:22:13+0300,"{'coordinates': [38.6875453, -4.06054860000003], 'type': 'Point'}",TRU20,Illegal,https://sensingclues.poolparty.biz/SCCSSOntology/1814
4,O9045965-n8f8f14bb2a58be58,offence,9045965,KCRP 2022,offence,2022-10-07T15:22:13+0300,"{'coordinates': [38.6875453, -4.06054860000003], 'type': 'Point'}",TRU20,Kiln,https://sensingclues.poolparty.biz/SCCSSOntology/360
5,O9045965-n8f8f14bb2a58be58,offence,9045965,KCRP 2022,offence,2022-10-07T15:22:13+0300,"{'coordinates': [38.6875453, -4.06054860000003], 'type': 'Point'}",TRU20,Burned,https://sensingclues.poolparty.biz/SCCSSOntology/467
6,O9045965-n8f8f14bb2a58be58,offence,9045965,KCRP 2022,offence,2022-10-07T15:22:13+0300,"{'coordinates': [38.6875453, -4.06054860000003], 'type': 'Point'}",TRU20,Charcoal,https://sensingclues.poolparty.biz/SCCSSOntology/523
7,O9045965-n8f8f14bb2a58be58,offence,9045965,KCRP 2022,offence,2022-10-07T15:22:13+0300,"{'coordinates': [38.6875453, -4.06054860000003], 'type': 'Point'}",TRU20,Charcoaling,https://sensingclues.poolparty.biz/SCCSSOntology/97
8,O9045965-n5e38bfa1cb09218c,offence,9045965,KCRP 2022,offence,2022-10-07T07:33:34+0300,"{'coordinates': [38.978372, -3.89590380000003], 'type': 'Point'}",5Y-CBW,Illegal,https://sensingclues.poolparty.biz/SCCSSOntology/1814
9,O9045965-n5e38bfa1cb09218c,offence,9045965,KCRP 2022,offence,2022-10-07T07:33:34+0300,"{'coordinates': [38.978372, -3.89590380000003], 'type': 'Point'}",5Y-CBW,Zebra grevy,https://sensingclues.poolparty.biz/SCCSSOntology/290
